sigma,L,Gamma,chi,poles,mpo_max_relative,energy_relative_error,correlation_absolute_error
1.75,16,1.52,32,16,4.164404413474493e-13,6.801068782246959e-10,5.2060494803995994e-8
1.75,16,1.54,32,16,4.164404413474493e-13,6.353830468262929e-10,4.6789393692847625e-8
1.75,16,1.56,32,16,4.164404413474493e-13,5.89401967514088e-10,4.1652251925317074e-8
1.75,16,1.58,32,16,4.164404413474493e-13,5.440151478935564e-10,3.704456869035866e-8
1.75,16,1.6,32,16,4.164404413474493e-13,5.002767401947044e-10,3.305789580965168e-8
1.75,32,1.52,32,16,3.162632532717331e-10,,
1.75,32,1.52,64,16,3.162632532717331e-10,,
1.75,32,1.54,32,16,3.162632532717331e-10,,
1.75,32,1.54,64,16,3.162632532717331e-10,,
1.75,32,1.56,32,16,3.162632532717331e-10,,
1.75,32,1.56,64,16,3.162632532717331e-10,,
1.75,32,1.58,32,16,3.162632532717331e-10,,
1.75,32,1.58,64,16,3.162632532717331e-10,,
1.75,32,1.6,32,16,3.162632532717331e-10,,
1.75,32,1.6,64,16,3.162632532717331e-10,,
1.75,64,1.52,64,16,2.2741813590818206e-10,,
1.75,64,1.54,64,16,2.2741813590818206e-10,,
1.75,64,1.56,64,16,2.2741813590818206e-10,,
1.75,64,1.58,64,16,2.2741813590818206e-10,,
1.75,64,1.6,64,16,2.2741813590818206e-10,,
2.0,16,1.38,32,16,1.5933259852848795e-13,5.18545641163824e-10,5.9127300611194755e-8
2.0,16,1.4,32,16,1.5933259852848795e-13,4.88131171967883e-10,5.256176843770888e-8
2.0,16,1.42,32,16,1.5933259852848795e-13,4.558722620393465e-10,4.6672834264072094e-8
2.0,16,1.44,32,16,1.5933259852848795e-13,4.2281947814522046e-10,4.150642685107897e-8
2.0,16,1.46,32,16,1.5933259852848795e-13,3.8993082869712885e-10,3.702787593207191e-8
2.0,32,1.38,32,16,3.9514126943571994e-10,,
2.0,32,1.38,64,16,3.9514126943571994e-10,,
2.0,32,1.4,32,16,3.9514126943571994e-10,,
2.0,32,1.4,64,16,3.9514126943571994e-10,,
2.0,32,1.42,32,16,3.9514126943571994e-10,,
2.0,32,1.42,64,16,3.9514126943571994e-10,,
2.0,32,1.44,32,16,3.9514126943571994e-10,,
2.0,32,1.44,64,16,3.9514126943571994e-10,,
2.0,32,1.46,32,16,3.9514126943571994e-10,,
2.0,32,1.46,64,16,3.9514126943571994e-10,,
2.0,64,1.38,64,16,7.907690720178257e-10,,
2.0,64,1.4,64,16,7.907690720178257e-10,,
2.0,64,1.42,64,16,7.907690720178257e-10,,
2.0,64,1.44,64,16,7.907690720178257e-10,,
2.0,64,1.46,64,16,7.907690720178257e-10,,
