model,sigma,L,Gamma,chi,poles,MPO_bond_dimension,MPO_error,E0,E1,gap,ground_variance,excited_variance,normalized_ground_variance,normalized_excited_variance,discarded_weight,convergence_residual,correlation_ratio,ed_E0,ed_E1,ed_gap,ed_correlation_ratio,ed_energy_relative_error,correlation_ratio_absolute_error,runtime,git_commit
nn,,16,0.98,64,,4,,-20.20392096883627,,,5.950653303443687e-9,,1.45778449284068e-11,,,5.751926712704858e-10,0.44248633056118,-20.203920969723292,-20.12523244029763,0.07868852942566207,0.44246964758111085,4.390337085410727e-11,1.668298006912705e-5,204.04666590690613,5b254486579d4041e900f3266df067a8f85edfc4
nn,,16,0.99,64,,4,,-20.303411413248583,,,5.579124717769446e-9,,1.353405820933535e-11,,,5.251654666693639e-10,0.4210696150325606,-20.303411414107078,-20.21529551953009,0.08811589457698688,0.4210540615175898,4.228331285831371e-11,1.5553514970789717e-5,210.69136714935303,5b254486579d4041e900f3266df067a8f85edfc4
nn,,16,1.0,64,,4,,-20.40459447365191,,,1.0031044439529069e-8,,2.4092963273644567e-11,,,4.5145731597528993e-10,0.40080352136022507,-20.40459447475665,-20.306340775217688,0.09825369953896157,0.4007898597107898,5.414178599753538e-11,1.3661649435281475e-5,208.68291401863098,5b254486579d4041e900f3266df067a8f85edfc4
nn,,16,1.01,64,,4,,-20.507449007636804,,,4.482956228457624e-9,,1.0659607599156428e-11,,,3.8522574019594913e-10,0.38168120434805963,-20.50744900824597,-20.398354087880126,0.10909492036584467,0.3816701255847131,2.970462346099627e-11,1.1078763346550335e-5,208.05038499832153,5b254486579d4041e900f3266df067a8f85edfc4
nn,,16,1.02,64,,4,,-20.61194628981431,,,9.425150437891716e-9,,2.218453277901629e-11,,,3.5563929579041087e-10,0.36368502777478307,-20.61194629071758,-20.491320569412157,0.12062572130542293,0.3636762012572984,4.3822661609323626e-11,8.82651748468355e-6,207.230535030365,5b254486579d4041e900f3266df067a8f85edfc4
nn,,24,0.98,64,,4,,-30.279455860350247,,,1.1038991942768916e-10,,1.2040188427062272e-13,,,3.9968028886505635e-15,0.4606309331638916,,,,,,,208.49089097976685,5b254486579d4041e900f3266df067a8f85edfc4
nn,,24,0.99,64,,4,,-30.428093865563177,,,1.1527845344971865e-10,,1.2450839844761514e-13,,,3.885780586188048e-15,0.42836464681006914,,,,,,,210.95243501663208,5b254486579d4041e900f3266df067a8f85edfc4
nn,,24,1.0,64,,4,,-30.579576597346307,,,1.248281478183344e-10,,1.3349026362963558e-13,,,4.551914400963142e-15,0.39832215176066227,,,,,,,209.44028902053833,5b254486579d4041e900f3266df067a8f85edfc4
nn,,24,1.01,64,,4,,-30.733875573342683,,,1.2755663192365319e-10,,1.3504185219729638e-13,,,4.3298697960381105e-15,0.37056055446384095,,,,,,,210.22000098228455,5b254486579d4041e900f3266df067a8f85edfc4
nn,,24,1.02,64,,4,,-30.890935733191252,,,1.241460267920047e-10,,1.3009802299125041e-13,,,3.6637359812630166e-15,0.34507351423807286,,,,,,,212.5784158706665,5b254486579d4041e900f3266df067a8f85edfc4
nn,,32,0.98,64,,4,,-40.36057197807244,,,3.3624019124545157e-9,,2.0641202733388206e-12,,,3.2818192607919627e-13,0.48033588623247203,,,,,,,215.30297899246216,5b254486579d4041e900f3266df067a8f85edfc4
nn,,32,0.99,64,,4,,-40.55826536130839,,,3.5513494367478415e-9,,2.1589106180657697e-12,,,6.661338147750939e-14,0.4367967379324667,,,,,,,219.64419984817505,5b254486579d4041e900f3266df067a8f85edfc4
nn,,32,1.0,64,,4,,-40.760032493847845,,,3.6679921322502196e-9,,2.2077980851643267e-12,,,6.59472476627343e-14,0.39681767226300496,,,,,,,210.87157702445984,5b254486579d4041e900f3266df067a8f85edfc4
nn,,32,1.01,64,,4,,-40.965845511439696,,,3.678223947645165e-9,,2.191766687594735e-12,,,6.405986852087153e-14,0.3606321757747715,,,,,,,210.7762680053711,5b254486579d4041e900f3266df067a8f85edfc4
nn,,32,1.02,64,,4,,-41.1756131247712,,,3.6070559872314334e-9,,2.1275155049143047e-12,,,6.161737786669619e-14,0.3282731659169952,,,,,,,218.1645691394806,5b254486579d4041e900f3266df067a8f85edfc4
nn,,48,0.98,64,,4,,-60.528524953327796,,,1.0533995009609498e-7,,2.8752322246960827e-11,,,2.6742497105658458e-11,0.5224864855577418,,,,,,,223.81800413131714,5b254486579d4041e900f3266df067a8f85edfc4
nn,,48,0.99,64,,4,,-60.82413156173735,,,1.1925976650672965e-7,,3.2236072290392666e-11,,,3.4404257220899126e-11,0.4554029263771544,,,,,,,228.11569499969482,5b254486579d4041e900f3266df067a8f85edfc4
nn,,48,1.0,64,,4,,-61.126407805894594,,,1.0952908269246109e-7,,2.931377171800068e-11,,,9.632517006252783e-12,0.39507886786023444,,,,,,,227.47019696235657,5b254486579d4041e900f3266df067a8f85edfc4
nn,,48,1.01,64,,4,,-61.435362430638975,,,1.1390557119739242e-7,,3.0179227357263364e-11,,,1.7668089213884741e-12,0.34267828944168943,,,,,,,232.3992781639099,5b254486579d4041e900f3266df067a8f85edfc4
nn,,48,1.02,64,,4,,-61.75079357011805,,,1.126663846662268e-7,,2.954671970220267e-11,,,1.6090462295892394e-12,0.29838722179670657,,,,,,,223.51100611686707,5b254486579d4041e900f3266df067a8f85edfc4
